0,1,0,0,5,2
0,0,0,0,0,4
0,1,0,0,5,2
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,5,4
0,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,10,2
0,0,0,0,0,4
0,1,0,0,0,2
1,0,0,0,5,4
1,1,0,0,5,4
0,0,0,0,10,4
0,0,0,0,0,4
0,1,0,0,5,2
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,5,2
0,1,0,0,5,2
1,0,0,0,0,4
0,0,0,0,15,4
0,1,0,0,0,2
0,0,0,0,0,4
0,1,0,0,5,2
0,0,0,0,0,4
0,0,0,0,5,4
0,1,0,0,0,2
1,0,0,0,0,4
1,1,0,0,0,4
0,1,0,0,5,2
0,1,0,0,0,2
0,2,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,4
0,1,0,0,0,2
0,2,0,0,10,2
0,0,0,0,10,4
0,1,0,0,0,2
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,4
0,4,0,0,0,2
0,0,0,0,0,4
0,3,0,0,0,2
0,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,5,4
0,0,0,0,0,4
1,0,0,0,10,4
1,0,0,0,0,4
0,0,0,0,10,4
0,1,0,0,5,2
1,0,0,0,5,4
0,1,0,0,10,2
1,1,0,0,5,4
0,1,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,5,4
0,1,0,0,5,2
1,0,0,0,5,4
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,2
1,1,0,0,5,4
0,0,0,0,0,4
0,2,0,0,5,2
0,2,0,0,0,2
0,1,0,0,0,2
0,1,0,0,0,2
0,1,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,4
0,0,0,0,10,4
0,1,0,0,5,2
0,1,0,0,0,2
0,0,0,0,0,4
0,1,0,0,5,2
0,0,0,0,0,4
1,1,0,0,5,4
0,1,0,0,5,2
0,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,4
0,1,0,0,5,2
0,1,0,0,0,2
0,0,0,0,5,4
0,0,0,0,0,4
0,1,0,0,0,2
0,1,0,0,0,2
1,0,0,0,0,4
0,0,0,0,5,4
0,1,0,0,5,2
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,4
1,1,0,0,0,4
0,1,0,0,5,2
0,1,0,0,0,2
0,0,0,0,5,4
0,1,0,0,0,2
0,0,0,0,5,4
0,1,0,0,0,2
2,1,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,2
