"TxgirlMVART @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...",,,
"saod511RT @NBCNews: Petraeus, Kellogg, Harward: Could one of them replace Flynn as national security adviser? .",,,
"TopBitsRT @Techmeme: Ex	""Google News team recalls how they vetted sites", rejecting spam and unreliable sources .,,
JaniceH62971776RT @SenWarren: .@realDonaldTrump is still making money overseas & may have financial ties to Russia. Nobody knows since he STILL won't rele...,,,
"gravityRox@CBSNews Spicer says Flynn problem is a trust problem, no big deal, just a ""matter of trust"", driven by Lies and framed in Natl Security.",,,
smschankeRT @gruber: This should be widely circulated. Don't let it get lost amidst the Flynn fiasco: .,,,
sahlee426RT @SenWarren: .@realDonaldTrump is still making money overseas & may have financial ties to Russia. Nobody knows since he STILL won't rele...,,,
"matt_konRT @ianbremmer: Half of Canada lives in Red, half in White. #GreatWhiteNorth .",,,
CyprianifeRT @BBCWorld: Where is Nigeria's president? .,,,
"EcoLogicalNetRT @NatashaBertrand: .@Acosta to Spicer: ""You've said the president has been incredibly tough on Russia. How is that possible?""",,,
"GoneCritiquingRT @SenWarren: This. Is. Not. Normal. @realDonaldTrump owes Americans a full account of his Admin's dealings with Russia, both before & aft...",,,
fltcui58@SenJohnMcCain Can you ratchet down your Russia hate speech before you get us into a shooting war? Try being a statesman,,,
lieztcheRT @SenWarren: When did @WhiteHouse know that Flynn lied? What other contacts with Russia occurred during the campaign? Who knew what? Who...,,,
hatedujourRT @business: .@melindagates explains how @WarrenBuffett changed the way she thinks about charitable investment..,,,
"chickilopiccoloRT @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...",,,
GrAnnHaleyRT @SenWarren: But American national security demands that we not allow Michael Flynn to become a scapegoat for this Admin's disturbing tie...,,,
"lismatmontRT @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...",,,
BrianLewisS1RT @NBCNews: American Girl is releasing its first boy doll .,,,
mansamusa94RT @guardian: Donald Trump had 'full confidence' in Mike Flynn – hours later he was gone .,,,
Texas_Eric1@CBSNews they may be picking up the uranium clinton sold them for a um...donation,,,
"djrucommingRT @SenWarren: This. Is. Not. Normal. @realDonaldTrump owes Americans a full account of his Admin's dealings with Russia, both before & aft...",,,
"sandybeach2uRT @SenJohnMcCain: Must	""read @nytimes: """"Russian Cruise Missile", Deployed Secretly, Violates Treaty," Officials Say"""" ."
"imago_43@SenWarren @realDonaldTrump And the sooner America can @MoveOn from this Republican debacle, the safer our borders will be.",,,
justforfunddRT @SenWarren: When did @WhiteHouse know that Flynn lied? What other contacts with Russia occurred during the campaign? Who knew what? Who...,,,
BlueOwl0313@SenJohnMcCain @nytimes Shame u'll tweet about this and not check POTUS Russia ties. Duty 2 be hard on Trump as on HRC or hypocrite!,,,
Nuahs81RT @BBCWorld: 'Hungry caterpillars' .,,,
"sahlee426RT @SenWarren: This. Is. Not. Normal. @realDonaldTrump owes Americans a full account of his Admin's dealings with Russia, both before & aft...",,,
"DaFarmFFRT @SenJohnMcCain: Must	""read @nytimes: """"Russian Cruise Missile", Deployed Secretly, Violates Treaty," Officials Say"""" ."
FionaGillen2013RT @SenWarren: But American national security demands that we not allow Michael Flynn to become a scapegoat for this Admin's disturbing tie...,,,
powerfulfreedom@SenWarren @realDonaldTrump There is no proof.Shut up already.,,,
"cmartinhicksRT @CBSNews: More than 700 threatened and endangered animal species may be directly affected by climate change, study finds..",,,
hyezone@CBSNews shut the 🖕up you are one of the most corrupt one  get the 🖕out!,,,
"k_smith_photoRT @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...",,,
EriiiikkkkRT @SenWarren: Michael Flynn's blinding religious hatred & shady Russian ties disqualified him as NSA on day one. His removal is a win for...,,,
benr75RT @gruber: This should be widely circulated. Don't let it get lost amidst the Flynn fiasco: .,,,
taruan_RT @gruber: This should be widely circulated. Don't let it get lost amidst the Flynn fiasco: .,,,
"justforfunddRT @SenWarren: This. Is. Not. Normal. @realDonaldTrump owes Americans a full account of his Admin's dealings with Russia, both before & aft...",,,
abhijeetvasudevRT @guardian: Why do we see so many different things in Rorschach ink blots? .,,,
"lovinurvibeRT @CBSNews: ""I think that they will find exactly what [Pres. Trump] first believed,"" Spicer on potential investigation of Flynn..",,,
"arielmc_gRT @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...",,,
jluiscadenaRT @business: Who is (and isn't) selling Ivanka Trump's line? .,,,
djrucommingRT @SenWarren: When did @WhiteHouse know that Flynn lied? What other contacts with Russia occurred during the campaign? Who knew what? Who...,,,
trotta_marloRT @SenWarren: .@realDonaldTrump is still making money overseas & may have financial ties to Russia. Nobody knows since he STILL won't rele...,,,
GlambertStanRT @SenWarren: But American national security demands that we not allow Michael Flynn to become a scapegoat for this Admin's disturbing tie...,,,
sahlee426RT @SenWarren: When did @WhiteHouse know that Flynn lied? What other contacts with Russia occurred during the campaign? Who knew what? Who...,,,
libbyrose24RT @NBCNews: American Girl is releasing its first boy doll .,,,
"Trixter_MLERT @CBSNews: After National Security Adviser Michael Flynn resigned Monday, here's how some Republicans, Democrats reacted .",,,
soniaossorioRT @SenWarren: Consider this MY warning: We won't be silent. We will speak out. And we WILL persist.,,,
"KariRebarRT @SenWarren: This. Is. Not. Normal. @realDonaldTrump owes Americans a full account of his Admin's dealings with Russia, both before & aft...",,,
"realTamworth@CBSNews Wow, when will the denials @GOP learn? They are evil liars and pernicious obstructors of facts and all of them must go.",,,
"HedgesTracyRT @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...",,,
"AsaRoth2@SenJohnMcCain @washingtonpost Traitor to his country!  Did the Saudis put you up to this?   Why the Anti	""Russia st...",,,
